gene_name,BP,CC,MF
JUN,"['GO:0045892', 'GO:0072740', 'GO:0043922', 'GO:0008283', 'GO:0043392', 'GO:0042127', 'GO:0007179', 'GO:0070374', 'GO:0043524', 'GO:0009410', 'GO:0003151', 'GO:0060395', 'GO:0061029', 'GO:0043923', 'GO:0035994', 'GO:0001525', 'GO:0035026', 'GO:0006357', 'GO:0048545', 'GO:0030224', 'GO:0001774', 'GO:0008285', 'GO:0007254', 'GO:0001889', 'GO:0045944', 'GO:0000122', 'GO:2000144', 'GO:0048146', 'GO:0010634', 'GO:0031103', 'GO:0019046', 'GO:0140467', 'GO:0001938', 'GO:1902895', 'GO:1904707', 'GO:0006915', 'GO:0071277', 'GO:0051726', 'GO:0045893', 'GO:0034976']","['GO:0090575', 'GO:0000228', 'GO:0005667', 'GO:0000785', 'GO:0017053', 'GO:0005634', 'GO:0035976', 'GO:0005654', 'GO:0000791']","['GO:0031625', 'GO:0000976', 'GO:0070412', 'GO:1990837', 'GO:0003682', 'GO:0005096', 'GO:0001228', 'GO:0061629', 'GO:0003723', 'GO:0035497', 'GO:0019899', 'GO:0003677', 'GO:0000981', 'GO:0042802', 'GO:0000978', 'GO:0001227', 'GO:0140296', 'GO:0003700', 'GO:0044389']"
KATNAL2,"['GO:0051013', 'GO:0031122', 'GO:0000212']","['GO:0008352', 'GO:0000922', 'GO:0005819', 'GO:0005737', 'GO:0015630', 'GO:0005874']","['GO:0008568', 'GO:0005524', 'GO:0008017', 'GO:0016887']"
KCNK16,"['GO:0061178', 'GO:0006813', 'GO:0071805', 'GO:0051279', 'GO:0032469', 'GO:0086011', 'GO:0098900']","['GO:0034702', 'GO:0005789', 'GO:0005743', 'GO:0005886']","['GO:0042802', 'GO:0046872', 'GO:0005267', 'GO:0046982', 'GO:0015271', 'GO:0022841']"
KCNS3,"['GO:1901379', 'GO:0051260', 'GO:0006813', 'GO:0001508', 'GO:0071805']","['GO:0005794', 'GO:0005829', 'GO:0005886', 'GO:0016020', 'GO:0008076']","['GO:0005251', 'GO:0015459']"
KHSRP,"['GO:0000375', 'GO:0010586', 'GO:0010989', 'GO:0045019', 'GO:0008380', 'GO:0051028', 'GO:0006397', 'GO:0006357', 'GO:0061158', 'GO:0043488', 'GO:0061014', 'GO:0071345']","['GO:0005829', 'GO:0005737', 'GO:0005634', 'GO:0016020', 'GO:0005654']","['GO:0003729', 'GO:0003723', 'GO:0003677', 'GO:0044183', 'GO:0035925']"
KIF20A,"['GO:0007018', 'GO:0001578', 'GO:0061952', 'GO:0000281', 'GO:0032465', 'GO:0015031']","['GO:0005871', 'GO:0032154', 'GO:0072686', 'GO:0045171', 'GO:0005737', 'GO:0005634', 'GO:0005874', 'GO:0030496', 'GO:0005794', 'GO:0005654', 'GO:0005819']","['GO:0005524', 'GO:0019901', 'GO:0003777', 'GO:0008017', 'GO:0016887']"
KMO,"['GO:1903296', 'GO:0006569', 'GO:0034276', 'GO:0009651', 'GO:0071347', 'GO:0070189', 'GO:0019674', 'GO:0019805', 'GO:0034354', 'GO:0071222']","['GO:0005829', 'GO:0005739', 'GO:0005741']","['GO:0004502', 'GO:0016174', 'GO:0071949', 'GO:0050660']"
KRAS,"['GO:0016601', 'GO:0060038', 'GO:0014009', 'GO:0000165', 'GO:2000774', 'GO:0048169', 'GO:0048873', 'GO:0007565', 'GO:0019221', 'GO:0032228', 'GO:0060509', 'GO:0043524', 'GO:0030857', 'GO:0051450', 'GO:0035900', 'GO:0010467', 'GO:0009629', 'GO:0021897', 'GO:0030036', 'GO:0007265', 'GO:0008542', 'GO:0001889', 'GO:0051146', 'GO:0051402', 'GO:0060441', 'GO:0010628', 'GO:0035022', 'GO:0060252', 'GO:0051385', 'GO:0051384', 'GO:0035914']","['GO:0005829', 'GO:0005737', 'GO:0005789', 'GO:0009898', 'GO:0000139', 'GO:0005741', 'GO:0005886', 'GO:0016020', 'GO:0005925']","['GO:0030275', 'GO:0044877', 'GO:0019003', 'GO:0043495', 'GO:0003925', 'GO:0003924', 'GO:0019002', 'GO:0042802', 'GO:0005525']"
LAMP1,"['GO:0050821', 'GO:0045954', 'GO:0072594', 'GO:1902513', 'GO:0007042', 'GO:0090160', 'GO:0140507', 'GO:0043323']","['GO:0005765', 'GO:0008021', 'GO:0000421', 'GO:0031902', 'GO:0044754', 'GO:0005829', 'GO:0070062', 'GO:0101003', 'GO:0010008', 'GO:0005737', 'GO:0005764', 'GO:0061474', 'GO:0042470', 'GO:0005886', 'GO:0016020', 'GO:0048471', 'GO:0042383', 'GO:0005771', 'GO:0005770', 'GO:0035577', 'GO:0009897', 'GO:0101004']","['GO:0008200', 'GO:0019904', 'GO:0019899', 'GO:0001618']"
LBR,"['GO:0006695', 'GO:0060816', 'GO:0030223']","['GO:0005652', 'GO:0005637', 'GO:0031965', 'GO:0005737', 'GO:0005634', 'GO:0005635', 'GO:0001650', 'GO:0005789', 'GO:0016020', 'GO:0005654']","['GO:0070087', 'GO:0003723', 'GO:0005521', 'GO:0070402', 'GO:0003677', 'GO:0140463', 'GO:0050613']"
LCAT,"['GO:0006656', 'GO:0043691', 'GO:0042632', 'GO:0046222', 'GO:0034375', 'GO:0034372', 'GO:0090107', 'GO:0042158', 'GO:0046688', 'GO:0046470', 'GO:0008203', 'GO:0006629', 'GO:0006644', 'GO:0051384', 'GO:0030301']","['GO:0005576', 'GO:0070062', 'GO:0034364']","['GO:0003847', 'GO:0047179', 'GO:0034186', 'GO:0004607', 'GO:0004771', 'GO:0004623']"
LDHA,"['GO:0006089', 'GO:0042867', 'GO:0021762', 'GO:0006096']","['GO:1990204', 'GO:0035686', 'GO:0005739', 'GO:0005829', 'GO:0005634', 'GO:0016020', 'GO:0070062']","['GO:0042802', 'GO:0045296', 'GO:0004459']"
LDLR,"['GO:0061889', 'GO:0030299', 'GO:0042632', 'GO:0006909', 'GO:0010989', 'GO:0034381', 'GO:0070508', 'GO:0042159', 'GO:0050729', 'GO:0034384', 'GO:0061771', 'GO:0001523', 'GO:0010867', 'GO:0051248', 'GO:0051246', 'GO:0090181', 'GO:0010629', 'GO:0034383', 'GO:0090118', 'GO:0048844', 'GO:0071398', 'GO:0006897', 'GO:0010899', 'GO:0097242', 'GO:1905167', 'GO:0150094', 'GO:0008203', 'GO:0007616', 'GO:0006629', 'GO:1905907', 'GO:0071404', 'GO:0015914', 'GO:0010628', 'GO:1903979', 'GO:0001920', 'GO:0030301', 'GO:0006898']","['GO:0036477', 'GO:0009986', 'GO:0097443', 'GO:0036020', 'GO:0034362', 'GO:0010008', 'GO:0030669', 'GO:0005764', 'GO:1990666', 'GO:0005905', 'GO:0016323', 'GO:0043235', 'GO:0005794', 'GO:0005886', 'GO:0016020', 'GO:0045177', 'GO:0005769', 'GO:0005770', 'GO:0009897']","['GO:0005041', 'GO:0002020', 'GO:0071813', 'GO:0005509', 'GO:0060090', 'GO:0032050', 'GO:0001618', 'GO:0030169', 'GO:0001540', 'GO:0042802', 'GO:0030229']"
LDLRAP1,"['GO:1905581', 'GO:0043393', 'GO:0042632', 'GO:0034383', 'GO:0090118', 'GO:1905602', 'GO:0031623', 'GO:0042982', 'GO:0008203', 'GO:1903076', 'GO:0048260', 'GO:1904707', 'GO:0090205', 'GO:0030301', 'GO:0071345', 'GO:0006898']","['GO:0030424', 'GO:0005829', 'GO:0030669', 'GO:0009925', 'GO:0009898', 'GO:0005886', 'GO:0005883', 'GO:0005769', 'GO:0055037']","['GO:0030276', 'GO:0005546', 'GO:0001784', 'GO:0035591', 'GO:0035650', 'GO:0035615', 'GO:0030159', 'GO:0001540', 'GO:0035612', 'GO:0050750']"
LEP,"['GO:0033197', 'GO:0019953', 'GO:0030217', 'GO:0046881', 'GO:1900015', 'GO:0032817', 'GO:0046850', 'GO:0001542', 'GO:0001936', 'GO:0008343', 'GO:0051541', 'GO:0045471', 'GO:0043270', 'GO:0032310', 'GO:0033210', 'GO:0046628', 'GO:0050892', 'GO:0001666', 'GO:0000122', 'GO:0042307', 'GO:0090335', 'GO:0050999', 'GO:0060612', 'GO:0120162', 'GO:0071300', 'GO:0035630', 'GO:0035904', 'GO:0006111', 'GO:0097696', 'GO:0010888', 'GO:0032008', 'GO:0035556', 'GO:0061037', 'GO:0050810', 'GO:0044320', 'GO:0045765', 'GO:0032757', 'GO:0030073', 'GO:0001525', 'GO:0032735', 'GO:0042593', 'GO:0003300', 'GO:0070093', 'GO:0046427', 'GO:0008203', 'GO:0042102', 'GO:0010507', 'GO:0002021', 'GO:1904651', 'GO:0051897', 'GO:0006909', 'GO:0035360', 'GO:1990051', 'GO:0046325', 'GO:0032760', 'GO:0043066', 'GO:0014823', 'GO:1900745', 'GO:0042755', 'GO:0042269', 'GO:2000491', 'GO:0032099', 'GO:0007623', 'GO:0032355', 'GO:0098868', 'GO:0021954', 'GO:0032868', 'GO:0008340', 'GO:0007259', 'GO:0050796', 'GO:0006629', 'GO:0006114', 'GO:0051726', 'GO:0043410', 'GO:0033686', 'GO:0001890', 'GO:0008217', 'GO:0007565', 'GO:2000486', 'GO:2000379', 'GO:0050901', 'GO:0006112', 'GO:0006006', 'GO:0032755', 'GO:0032869', 'GO:0032814', 'GO:0045906', 'GO:0008206', 'GO:0071298', 'GO:0042445', 'GO:0006635', 'GO:0048639', 'GO:0038108', 'GO:0060587']","['GO:0005576', 'GO:0005829']","['GO:1990460', 'GO:0005179', 'GO:0051428', 'GO:0003677']"
LIAS,"['GO:0009107', 'GO:0032496', 'GO:0006954', 'GO:0006979', 'GO:0001843', 'GO:0009249']","['GO:0005739', 'GO:0005759']","['GO:0051539', 'GO:0046872', 'GO:0016992']"
LIPA,"['GO:1903409', 'GO:0002021', 'GO:0140354', 'GO:0000902', 'GO:0048873', 'GO:0030421', 'GO:0006695', 'GO:0030217', 'GO:0007264', 'GO:0009409', 'GO:0031929', 'GO:0006776', 'GO:0042159', 'GO:0033344', 'GO:0006631', 'GO:0006096', 'GO:0009410', 'GO:0008333', 'GO:0010467', 'GO:0016042', 'GO:0034383', 'GO:0006006', 'GO:0033028', 'GO:0016125', 'GO:0042098', 'GO:0002244', 'GO:0007005', 'GO:0048771', 'GO:0007040', 'GO:0050862', 'GO:0035726', 'GO:0030099', 'GO:0002526', 'GO:0006897', 'GO:0051881', 'GO:0071838', 'GO:0033189', 'GO:0006754', 'GO:1901355', 'GO:0030324', 'GO:0000278', 'GO:0048536', 'GO:0008340', 'GO:0070231', 'GO:0010878', 'GO:0001935', 'GO:0060612', 'GO:0048539', 'GO:0006641', 'GO:0071830', 'GO:1990845', 'GO:0055088']","['GO:0005829', 'GO:0005764', 'GO:0043202', 'GO:0001650', 'GO:0005654']","['GO:0004771', 'GO:0016298']"
LIPC,"['GO:0070328', 'GO:0043691', 'GO:0042632', 'GO:0034375', 'GO:0034372', 'GO:0019433', 'GO:0034638', 'GO:0034373', 'GO:0008203', 'GO:0006633', 'GO:0034382', 'GO:0034374']","['GO:0005576', 'GO:0034364', 'GO:0005788']","['GO:0004465', 'GO:0008201', 'GO:0004806', 'GO:0004622', 'GO:0034185', 'GO:0030169', 'GO:0008970', 'GO:0004620']"
LIPE,"['GO:0006468', 'GO:0046485', 'GO:0016042', 'GO:0046340', 'GO:0019433', 'GO:0008203']","['GO:0005811', 'GO:0005901', 'GO:0005829', 'GO:0016020']","['GO:0047376', 'GO:0120516', 'GO:0004806', 'GO:0004771', 'GO:0047372', 'GO:0050253']"
LIPG,"['GO:0043691', 'GO:0042632', 'GO:0010983', 'GO:0034375', 'GO:0007584', 'GO:0032376', 'GO:0055091', 'GO:0019433', 'GO:0009395', 'GO:0050746', 'GO:0006633', 'GO:0006629']","['GO:0005576', 'GO:0009986', 'GO:0005794', 'GO:0005769']","['GO:0004465', 'GO:0008201', 'GO:0004806', 'GO:0008970', 'GO:0004620']"
LNP1,[],[],[]
LPA,"['GO:0006629', 'GO:0006869', 'GO:0008015', 'GO:0006508']","['GO:0005576', 'GO:0034358']","['GO:0034185', 'GO:0004866', 'GO:0008201', 'GO:0001968', 'GO:0004252']"
LPAR1,"['GO:0071673', 'GO:0021549', 'GO:0014003', 'GO:0098693', 'GO:0035025', 'GO:0008360', 'GO:0032060', 'GO:0042552', 'GO:1902018', 'GO:0060326', 'GO:1904566', 'GO:0022038', 'GO:0007193', 'GO:0099149', 'GO:0007189', 'GO:0043123', 'GO:0043065', 'GO:0141162', 'GO:0021554', 'GO:0071453', 'GO:0007200', 'GO:0022008', 'GO:0060999', 'GO:0007204', 'GO:0007186', 'GO:0010977', 'GO:0051496', 'GO:0043410']","['GO:0005768', 'GO:0045211', 'GO:0009986', 'GO:0098982', 'GO:0005737', 'GO:0043197', 'GO:0005886', 'GO:0042734', 'GO:0043025', 'GO:0098978', 'GO:0043198']","['GO:0030165', 'GO:0035727', 'GO:0001965', 'GO:0004930', 'GO:0070915']"
LPAR2,"['GO:0007189', 'GO:0007204', 'GO:0007186', 'GO:0043410', 'GO:0035025']","['GO:0009986', 'GO:0048787', 'GO:0005737', 'GO:0098978', 'GO:0005886']","['GO:0030165', 'GO:0008289', 'GO:0004930', 'GO:0070915']"
LPIN1,"['GO:0007077', 'GO:0009062', 'GO:0046473', 'GO:0032869', 'GO:0046337', 'GO:0045944', 'GO:1905694', 'GO:0031642', 'GO:0006642', 'GO:0031100', 'GO:0120162', 'GO:0019432']","['GO:0005829', 'GO:0031965', 'GO:0005737', 'GO:0005634', 'GO:0005635', 'GO:0005789', 'GO:0005741', 'GO:0005654', 'GO:0005783']","['GO:0008195', 'GO:0003713']"
LPL,"['GO:0010744', 'GO:1904179', 'GO:0009749', 'GO:0070328', 'GO:0042632', 'GO:0034371', 'GO:0031670', 'GO:0034375', 'GO:2000343', 'GO:0050729', 'GO:0034372', 'GO:0045600', 'GO:0019433', 'GO:0032760', 'GO:0006631', 'GO:0010884', 'GO:0034447', 'GO:0032755', 'GO:0032731', 'GO:0071398', 'GO:0010886', 'GO:0032722', 'GO:0006633', 'GO:0009617', 'GO:0055096', 'GO:0006644', 'GO:0006641', 'GO:0001523']","['GO:0005576', 'GO:0009986', 'GO:1902494', 'GO:0042627', 'GO:0005886', 'GO:0034361']","['GO:0004465', 'GO:0008201', 'GO:0004806', 'GO:0043395', 'GO:0042803', 'GO:0071813', 'GO:0005509', 'GO:0005102', 'GO:0034185', 'GO:0043495', 'GO:0008970', 'GO:0004620']"
LSS,"['GO:0006694', 'GO:0006695', 'GO:0016104', 'GO:0031647']","['GO:0005811', 'GO:0005789', 'GO:0016020']",['GO:0000250']
MAPK3,"['GO:0051216', 'GO:0072584', 'GO:0071260', 'GO:0042770', 'GO:0014044', 'GO:0050804', 'GO:0090370', 'GO:0061514', 'GO:2000641', 'GO:0070371', 'GO:0042473', 'GO:0006468', 'GO:0098792', 'GO:0150078', 'GO:0006915', 'GO:0034198', 'GO:0030278', 'GO:0038083', 'GO:0031281', 'GO:0070374', 'GO:0070498', 'GO:0035556', 'GO:0051493', 'GO:0007173', 'GO:0048009', 'GO:0002841', 'GO:0051403', 'GO:0000165', 'GO:0060425', 'GO:0031663', 'GO:1904417', 'GO:0042552', 'GO:0071356', 'GO:1904262', 'GO:0030509', 'GO:0060324', 'GO:0043330', 'GO:0008286', 'GO:0032872', 'GO:0048538', 'GO:0019233', 'GO:0030878', 'GO:0120041', 'GO:0045944', 'GO:0070849', 'GO:0090170', 'GO:0006351', 'GO:0016310', 'GO:0010759', 'GO:0007166', 'GO:0032206', 'GO:0038133']","['GO:0097542', 'GO:0036064', 'GO:0005635', 'GO:0005901', 'GO:0005886', 'GO:0031143', 'GO:0005634', 'GO:0005925', 'GO:0015630', 'GO:0005794', 'GO:0005788', 'GO:0005856', 'GO:0005769', 'GO:0005770', 'GO:0098978', 'GO:0005929', 'GO:0005829', 'GO:0005737', 'GO:0005739', 'GO:0005654']","['GO:0019902', 'GO:0001784', 'GO:0004707', 'GO:0004674', 'GO:0106310', 'GO:0005524', 'GO:0140297', 'GO:0042802']"
MARCH3,"['GO:0006897', 'GO:0016567']","['GO:0005768', 'GO:0031901', 'GO:0005764']","['GO:0061630', 'GO:0008270', 'GO:0004842']"
MARCH4,['GO:0016567'],"['GO:0005802', 'GO:0000139', 'GO:0005795']","['GO:0061630', 'GO:0008270', 'GO:0004842']"
MARCHF6,"['GO:0043161', 'GO:0045541', 'GO:0010498', 'GO:0070936', 'GO:0016567', 'GO:0036503', 'GO:1904380']","['GO:0005789', 'GO:0000835', 'GO:0044322', 'GO:0016020', 'GO:0005783']","['GO:1990381', 'GO:0019899', 'GO:0061630', 'GO:0008270', 'GO:0031624', 'GO:0004842']"
MBTPS1,"['GO:0016485', 'GO:0060627', 'GO:0031293', 'GO:0030968', 'GO:0007040', 'GO:0051604', 'GO:0008203', 'GO:0006606', 'GO:0045540', 'GO:0006508', 'GO:0007095', 'GO:0036500', 'GO:0034976']","['GO:0005739', 'GO:0005789', 'GO:0005794', 'GO:0000139', 'GO:0005795', 'GO:0005788']",['GO:0004252']
MBTPS2,"['GO:0007095', 'GO:0030968', 'GO:0031293', 'GO:0045542', 'GO:0070977', 'GO:0051604', 'GO:0045540', 'GO:0045944', 'GO:1905897', 'GO:0008203', 'GO:0036500', 'GO:0034976']","['GO:0000139', 'GO:0005737', 'GO:0016020']","['GO:0046872', 'GO:0004222', 'GO:0140537']"
MED1,"['GO:0060261', 'GO:0060218', 'GO:0042789', 'GO:0045648', 'GO:0006357', 'GO:0003406', 'GO:0071383', 'GO:0003222', 'GO:0000122', 'GO:0045023', 'GO:0060335', 'GO:0035050', 'GO:0030216', 'GO:0010628', 'GO:0007595', 'GO:0035162', 'GO:0045008', 'GO:0006702', 'GO:0033148', 'GO:0032968', 'GO:0001525', 'GO:0006281', 'GO:0001889', 'GO:0048821', 'GO:0031100', 'GO:0010839', 'GO:0000902', 'GO:0006590', 'GO:0097067', 'GO:0071364', 'GO:0043066', 'GO:0035855', 'GO:2000347', 'GO:0035357', 'GO:0035116', 'GO:0001892', 'GO:0007420', 'GO:0045444', 'GO:0016567', 'GO:0032355', 'GO:0070562', 'GO:0002088', 'GO:0006606', 'GO:0030518', 'GO:0045893', 'GO:0035729', 'GO:0045618', 'GO:0070318', 'GO:0045665', 'GO:0030224', 'GO:0045944', 'GO:0051123', 'GO:2001141', 'GO:0002154']","['GO:0070847', 'GO:0000785', 'GO:0005634', 'GO:0016607', 'GO:0016592', 'GO:0016020', 'GO:0000151', 'GO:0032993', 'GO:0005730', 'GO:0005654']","['GO:0019104', 'GO:0061630', 'GO:0035035', 'GO:0042809', 'GO:0001223', 'GO:0046966', 'GO:0030331', 'GO:0016922', 'GO:0004520', 'GO:0042974', 'GO:0050693', 'GO:0003712', 'GO:0003682', 'GO:0003677', 'GO:0140297', 'GO:0003713', 'GO:0003696', 'GO:0008263', 'GO:0044877', 'GO:1990841', 'GO:0003714', 'GO:0042975', 'GO:0031490', 'GO:0000978', 'GO:0140296']"
METAP2,"['GO:0016485', 'GO:0006446']","['GO:0005886', 'GO:0005737', 'GO:0005829']","['GO:0070006', 'GO:0046872', 'GO:0004239', 'GO:0004177', 'GO:0008235', 'GO:0003723']"
MFSD5,"['GO:0042594', 'GO:0006811', 'GO:0015689', 'GO:0032094']","['GO:0005886', 'GO:0016020']",['GO:0015098']
MGAM,"['GO:0005983', 'GO:1901027', 'GO:0000025']","['GO:0016324', 'GO:0005886', 'GO:0070821', 'GO:0070062', 'GO:0101003']","['GO:0003824', 'GO:0030246', 'GO:0004574', 'GO:0016160', 'GO:0004558']"
MGLL,"['GO:0006954', 'GO:0051930', 'GO:0006629', 'GO:0009966', 'GO:0050727', 'GO:0046464', 'GO:0019433', 'GO:0019369', 'GO:0052651', 'GO:0006633', 'GO:2000124']","['GO:0005789', 'GO:0005829', 'GO:0005886', 'GO:0016020']","['GO:0042803', 'GO:0004622', 'GO:0047372']"
MLXIPL,"['GO:0097009', 'GO:0000432', 'GO:0045892', 'GO:0070328', 'GO:0009653', 'GO:0055089', 'GO:0008610', 'GO:0045893', 'GO:0006355', 'GO:0008284', 'GO:0006357', 'GO:0042593', 'GO:0045821', 'GO:0035774', 'GO:0045944', 'GO:0010255', 'GO:0090324', 'GO:0045723', 'GO:0046889', 'GO:1901797']","['GO:0005829', 'GO:0005667', 'GO:0000785', 'GO:0005737', 'GO:0005634', 'GO:0005654']","['GO:0046982', 'GO:0001228', 'GO:0061629', 'GO:0003677', 'GO:0140297', 'GO:0035538', 'GO:0000981', 'GO:0000978', 'GO:0001227', 'GO:0001216', 'GO:0003700']"
MMP9,"['GO:0043388', 'GO:0022617', 'GO:0150077', 'GO:0043066', 'GO:0007566', 'GO:0001934', 'GO:0035987', 'GO:0048013', 'GO:0043065', 'GO:2001243', 'GO:1904063', 'GO:0016477', 'GO:1904645', 'GO:0030574', 'GO:0090200', 'GO:0001501', 'GO:0051549', 'GO:0071492', 'GO:1904707', 'GO:2000697', 'GO:0045742', 'GO:0006915', 'GO:0030198', 'GO:0030225', 'GO:0006508', 'GO:0071222']","['GO:0005576', 'GO:1904813', 'GO:0070062', 'GO:0031012', 'GO:1904724']","['GO:0004175', 'GO:0008270', 'GO:0004222', 'GO:0042802', 'GO:0008237', 'GO:0008233', 'GO:0005518', 'GO:0004252']"
MOGS,"['GO:0009311', 'GO:0006487', 'GO:0019082', 'GO:0006457']","['GO:0005789', 'GO:0016020', 'GO:0070062', 'GO:0005783']","['GO:0004573', 'GO:0015926']"
MORC3,"['GO:2000774', 'GO:0050821', 'GO:0140374', 'GO:0032688', 'GO:0051457', 'GO:0048147', 'GO:0000122', 'GO:0006468', 'GO:0009791', 'GO:0018105']","['GO:0016605', 'GO:0000785', 'GO:0005634', 'GO:0005654', 'GO:0016363']","['GO:0140002', 'GO:0008270', 'GO:0030674', 'GO:0003723', 'GO:0003677', 'GO:0016887']"
MSMO1,"['GO:0006695', 'GO:0016126', 'GO:0008202', 'GO:0006631', 'GO:0033490']","['GO:0005789', 'GO:0005886', 'GO:0016020', 'GO:0005783']","['GO:0000254', 'GO:0005506']"
MTF1,"['GO:0046686', 'GO:0071294', 'GO:1990079', 'GO:0030154', 'GO:0006355', 'GO:0006357', 'GO:0006979', 'GO:0007417', 'GO:0010038', 'GO:0045944', 'GO:0006351', 'GO:0007399']","['GO:0005829', 'GO:0000785', 'GO:0005737', 'GO:0005634', 'GO:0005654']","['GO:0008270', 'GO:1990837', 'GO:0000987', 'GO:0001228', 'GO:0003677', 'GO:0035035', 'GO:0000981', 'GO:0000978', 'GO:0003700']"
MTHFR,"['GO:0043200', 'GO:0070828', 'GO:0009410', 'GO:0033274', 'GO:0070555', 'GO:0046500', 'GO:0035999', 'GO:0050667', 'GO:0001666', 'GO:0001843', 'GO:0051593', 'GO:0006555']",['GO:0005829'],"['GO:0044877', 'GO:0004489', 'GO:0106313', 'GO:0071949', 'GO:0050661', 'GO:0050660', 'GO:0072341']"
MTOR,"['GO:0032956', 'GO:0035264', 'GO:0071456', 'GO:0031670', 'GO:0031929', 'GO:0048714', 'GO:0045727', 'GO:0045670', 'GO:0008361', 'GO:0055013', 'GO:0007281', 'GO:1990253', 'GO:0010592', 'GO:0006974', 'GO:1905671', 'GO:0097700', 'GO:0031295', 'GO:0030838', 'GO:1900034', 'GO:0003007', 'GO:1900181', 'GO:0062027', 'GO:0034198', 'GO:0048709', 'GO:0030030', 'GO:0060048', 'GO:0071470', 'GO:0001558', 'GO:0030307', 'GO:0071233', 'GO:0043276', 'GO:0045948', 'GO:1901796', 'GO:0019228', 'GO:0050882', 'GO:0009267', 'GO:2000060', 'GO:2000785', 'GO:0016236', 'GO:0010507', 'GO:0051496', 'GO:0010718', 'GO:0070885', 'GO:0045945', 'GO:0051897', 'GO:1903691', 'GO:0071230', 'GO:0031669', 'GO:0009615', 'GO:0050821', 'GO:0031641', 'GO:0043066', 'GO:0002296', 'GO:0031648', 'GO:0007010', 'GO:0006954', 'GO:1905672', 'GO:1904690', 'GO:0051549', 'GO:1904059', 'GO:0003179', 'GO:1900029', 'GO:0048266', 'GO:0009791', 'GO:0009408', 'GO:1905857', 'GO:0038202', 'GO:0043200', 'GO:0006207', 'GO:0016241', 'GO:0042752', 'GO:0010831', 'GO:0090559', 'GO:1901838', 'GO:0061431', 'GO:0006112', 'GO:0045792', 'GO:0038203', 'GO:0033173', 'GO:0032869', 'GO:0045821', 'GO:0016242', 'GO:0046889', 'GO:0031667', 'GO:0046627']","['GO:0005765', 'GO:0012505', 'GO:0005635', 'GO:0005789', 'GO:0005886', 'GO:0031931', 'GO:0005634', 'GO:0030425', 'GO:0016605', 'GO:0005764', 'GO:0000139', 'GO:0016020', 'GO:0045335', 'GO:0005783', 'GO:0005829', 'GO:0031932', 'GO:0005737', 'GO:0005741', 'GO:0005654']","['GO:0001002', 'GO:0004672', 'GO:0001006', 'GO:0000822', 'GO:0043022', 'GO:0004674', 'GO:0004713', 'GO:0106310', 'GO:0005524', 'GO:0044325', 'GO:0004715', 'GO:0001156', 'GO:0051219', 'GO:0042802', 'GO:0001003']"
MTTP,"['GO:0051592', 'GO:0009306', 'GO:0042953', 'GO:0042632', 'GO:0034377', 'GO:0034197', 'GO:0034378', 'GO:0007623', 'GO:0051649', 'GO:0042157', 'GO:0034374', 'GO:0006629', 'GO:0015914', 'GO:0034379', 'GO:0006641']","['GO:0031982', 'GO:0005829', 'GO:0031528', 'GO:0016323', 'GO:0043235', 'GO:0005794', 'GO:0031526', 'GO:0005788', 'GO:0005783']","['GO:0046982', 'GO:1902388', 'GO:0005319', 'GO:0140344', 'GO:0044877', 'GO:0120020', 'GO:0120019', 'GO:1904121', 'GO:0034185', 'GO:0120014', 'GO:0008289']"
MTUS1,['GO:0010758'],"['GO:0005813', 'GO:0005634', 'GO:0005739', 'GO:0005794', 'GO:0005819', 'GO:0005886', 'GO:0015630', 'GO:0005730', 'GO:0005874']",['GO:0008017']
MTUS2,[],"['GO:0045171', 'GO:0015630', 'GO:0005634', 'GO:0005874']","['GO:0042803', 'GO:0008017']"
MVD,"['GO:0008299', 'GO:0006695', 'GO:0019287', 'GO:0008284']","['GO:0005737', 'GO:0005829']","['GO:0004163', 'GO:0042803', 'GO:0005524', 'GO:0030544']"
MVK,"['GO:0008299', 'GO:0006695', 'GO:0019287', 'GO:0050728']","['GO:0005829', 'GO:0005777']","['GO:0042802', 'GO:0000287', 'GO:0005524', 'GO:0004496']"
MYLIP,"['GO:0016567', 'GO:0042632', 'GO:0010977', 'GO:0007399', 'GO:0045732', 'GO:0006511', 'GO:0010989', 'GO:0032803', 'GO:0031648']","['GO:0005829', 'GO:0005886']","['GO:0061630', 'GO:0008092', 'GO:0008270', 'GO:0004842']"
NAMPT,"['GO:0034355', 'GO:0070374', 'GO:0006741', 'GO:0008284', 'GO:0032922', 'GO:0043123', 'GO:0006954', 'GO:0007165', 'GO:0045944', 'GO:1901847', 'GO:0007267', 'GO:0009435', 'GO:0010628', 'GO:0006769']","['GO:0005759', 'GO:0005829', 'GO:0070062', 'GO:0030054', 'GO:0016607']","['GO:0047280', 'GO:0005125', 'GO:0042802']"
